ster_idx,x,y,flux_i,flux_g,flux_r,mag_i,mag_g,mag_r
1,2306.1540023853745,221.20543516632884,75412.84023683559,57163.97111790301,103258.17158090929,-12.193613244291075,-11.892805977811618,-12.534811076537062
2,1655.542302562664,231.45101838101428,148000.63035953965,119380.70564037003,207269.90419367142,-12.925658912830073,-12.692335354022184,-13.291340616649364
3,3851.709522444184,280.95350963731124,297619.7468680353,126119.30549035128,329679.5551135461,-13.684154357434199,-12.751953926309662,-13.79523003864435
4,379.0885777108706,287.54854495777573,104958.06903789449,27757.384635090828,82663.85246140091,-12.55253958047194,-11.108446358702613,-12.293289103130645
5,478.0560119050152,299.96734214541647,470164.59454229486,273600.2913608141,610179.909392192,-14.180624804348678,-13.592791388836629,-14.463644760217175
6,93.20271120042963,335.1101356139518,68793.35882363457,34593.32957659615,79522.38931473065,-12.093866285797239,-11.347480911190257,-12.251223550788728
7,1427.429758874304,381.8741238557772,291001.2618406856,281733.58015685016,433151.3209670908,-13.65973718044809,-13.624596535352826,-14.091599107975984
8,1619.7265705213913,382.26428193384544,24278.77730771323,26486.271113308612,25363.644668208435,-10.96306702912544,-11.05755205043306,-11.01052915078056
9,2887.119962653465,383.33817355860003,25284789.037526444,51902551.98721199,47864321.241509214,-18.50714833616915,-19.287971780301124,-19.200029761530626
10,3770.6896617039392,406.24146079082146,216253.96806245093,259720.2066236306,341341.89888646407,-13.337410212790866,-13.53626434927304,-13.832974000350555
11,163.20934845627372,412.183291911095,383344.1004124917,385803.2326895287,586831.4089060896,-13.958971959850492,-13.965914655815945,-14.42128337621009
12,2699.402822964242,452.5711622618678,69158.98740572558,92915.86092618853,118627.30685294373,-12.099621564767972,-12.42022463818011,-12.68546167726093
13,3490.342158158748,488.82088324226424,120714.70302700612,141804.18652570015,193146.25043713208,-12.704400425753054,-12.879222632092413,-13.214715703927062
14,3005.0905983495054,507.98370728669664,445773.95230765606,249600.57898488734,567774.1358640902,-14.122786719918924,-13.493113971052109,-14.385439012446486
15,2120.295099644754,523.123449650784,15265707.000043085,25717281.604899902,27283775.55719061,-17.95929230640609,-18.52556265106737,-18.589761170660957
16,2772.4119114797563,535.6450059468722,1345169.22846666,1674700.8599120136,2154511.84129439,-15.321942310039475,-15.559843108295247,-15.833372213332584
17,2029.7435180375523,539.7507845457037,2065017.7292638856,2213572.8326648343,3173548.785404038,-15.787309461637733,-15.862734540097154,-16.2538629472417
18,2336.079610649081,547.7194975035643,4635750.141266214,5128534.548124835,7156922.637460745,-16.665300050544687,-16.774983213664733,-17.13681580686555
19,2491.7303539152335,569.2768347232444,219355.83177684917,271758.4017697307,353728.6838240796,-13.35287296253326,-13.585457449382742,-13.871675695348486
20,614.8262993338355,658.9445830790816,53858.565739516285,52607.20677782083,82959.94434402464,-11.828136959779915,-11.80261310798162,-12.297171130056515
21,1136.7307894329736,661.1381801109278,121760.99382205599,144268.14144135546,193706.48991478235,-12.71377046046,-12.89792609239414,-13.217860428759078
22,2664.6561893511066,670.8574868186406,55237.09237508167,79058.2285696799,95862.1133664432,-11.855577024210174,-12.244867697575184,-12.454117497933687
23,163.55452701275613,677.2386501359325,220172.30560661084,222766.2998858327,336408.85219843965,-13.356906725751024,-13.369623728365791,-13.817168538046207
24,1642.9586429419223,683.6037054356966,74578.52278795891,84460.35711495578,113854.53260143101,-12.181534442086159,-12.316632283437556,-12.640875811897152
25,262.4234252666645,711.0563261430661,235962.83945033897,292245.4833138427,380058.33091495605,-13.432109033988942,-13.664369519541644,-13.949625641873382
