ster_idx,x,y,flux_i,flux_g,flux_r,mag_i,mag_g,mag_r
1,1189.479127445352,356.9877757992993,1517999.4969644663,2656116.158253123,2811001.7361924094,-15.453179069106834,-16.060617659595053,-16.122152784614965
2,3891.3906527669537,949.6785527015174,4143740.7024908504,8015873.440941384,7903548.601288641,-16.543481428256616,-17.259877129237477,-17.244555320608967
3,981.6081865329033,1656.3574148826374,1677083.0854854463,3035930.2043957678,3119100.751026951,-15.561386447025086,-16.205729457424376,-16.235073508156376
4,3643.075803491507,1924.4734213438176,6410638.876619935,12727883.787022889,12494678.092507657,-17.01725328236354,-17.761890503238934,-17.74181267907764
5,3550.9394711512914,2221.991450073427,1989019.4318339066,4042591.988935196,3894885.5832202653,-15.746597565022018,-16.516649777588594,-16.476236760730107
6,2020.7630137801273,2232.1086608702985,4597181.796987948,7782844.416868548,8396938.144112142,-16.65622919600159,-17.227845871904137,-17.310302384938566
7,3664.6389875005075,2884.171805453589,2168746.7789654895,3872057.8125496428,4062403.1010769303,-15.840522117797253,-16.469854582517968,-16.521957537632264
8,3763.043543869134,2921.3702795217578,2566567.9459690186,4853240.800088392,4901176.930876821,-16.023381915081288,-16.71507959989093,-16.7257509517093
9,3671.1897284839347,3115.712743318588,9241508.292964978,7061632.604440986,12944097.23651244,-17.414357143920004,-17.122262796939637,-17.78017941678958
10,1464.974700861882,3427.7022587152105,1889868.268184889,3535741.9701910927,3556653.74077556,-15.691078832662937,-16.37120140936854,-16.377603965895066
