ster_idx,x,y,flux_i,flux_g,flux_r,mag_i,mag_g,mag_r
1,1189.7815053065492,356.95027703979986,3413308.4151892914,4755473.223126344,6638543.846912369,-16.33293882863927,-16.692984351536083,-17.055182070180763
2,3891.611145526762,949.3786376278482,9368682.607534653,14470833.111962924,18768422.795735795,-17.42919631539921,-17.901233837388627,-18.183569445553267
3,981.7984789862145,1656.4449409855279,3794004.002801758,5528226.546976259,7437339.082921933,-16.447744461870407,-16.856464580346287,-17.178543955696952
4,3643.062165675715,1924.2975463658656,14551683.550449012,23105316.00553706,29676885.47404646,-17.907283104331096,-18.409279781576593,-18.68104580179289
5,3550.85356397464,2221.8210098036766,4508430.693790595,7318476.413949187,9251833.797472922,-16.635063494589758,-17.16105169380522,-17.415569555953134
6,2020.6202712482407,2232.17229683789,10579821.479734533,14444197.525993617,20285969.932846967,-17.561195849063537,-17.899233547050795,-18.267989443634608
7,3664.4801560373844,2883.961850056318,4903973.827003594,6998787.262268494,9624655.940909851,-16.726370359109172,-17.11255698184503,-17.45846303359809
8,3762.908345781278,2921.2064865501206,5798751.704458347,8767825.236318082,11593836.665683916,-16.908336282953382,-17.357229711752677,-17.660567944310653
9,3670.969931053427,3115.567966368912,20879761.34817571,12703229.98474121,30713463.55412177,-18.29931382613175,-17.75978540203512,-18.71832198637186
10,1464.8453685333232,3427.8125382310327,4262193.557205735,6402524.981190875,8429287.833422503,-16.574082920647268,-17.015878204154248,-17.314477209669818
